url,sample,key,name
https://vk.com/club116802581,a,анархисты,Панк и политика | Punk | Dикобраz | Дикобраз
https://vk.com/anarchynameste,a,анархисты,Мама анархия!
https://vk.com/odekvat_anarchy,a,анархисты,оДЕКВАТНАя АнархиЯ™
https://vk.com/cl_an,a,анархисты,Классическая анархия
https://vk.com/anarchyrevolution,a,анархисты,Анархия - мать порядка!
https://vk.com/club49023139,a,коммунисты,РЕВОЛЮЦИОННАЯ РАБОЧАЯ ПАРТИЯ (РРП)
https://vk.com/club107172091,a,коммунисты,Иосиф Сталин
https://vk.com/club51973690,a,коммунисты,Совхоз имени Ленина Московская Область
https://vk.com/club111939169,a,коммунисты,Здоровый народ
https://vk.com/club50578270,a,коммунисты,За отставку правительства!
https://vk.com/club32738224,a,коммунисты,СССР  2.0
https://vk.com/club57478050,a,коммунисты,?Правда о Сталине и советской эпохе?
https://vk.com/club167377881,a,коммунисты,Дневник Депутата
https://vk.com/club15175514,a,коммунисты,Союз Красных Групп и всех верных СССР!
https://vk.com/club7033,a,коммунисты,СССР | Официальная группа
https://vk.com/club146469497,a,либерализм,Классический либерал | КЛ
https://vk.com/club21758,a,либерализм,ЭКОНОМИКА ПОЛИТИКА ОБЩЕСТВО УПРАВЛЕНИЕ
https://vk.com/club23017477,a,либерализм,Я выступаю против Путина и Единой России.
https://vk.com/club54628558,a,либерализм,Либерал
https://vk.com/club151436549,a,либерализм,Политик Никита Исаев: Честно и правдиво о России
https://vk.com/club10354961,a,либертарианство,Пиратская партия России
https://vk.com/dontreadome,a,либертарианство,Либертарианство в схемах и мемах
https://vk.com/lpr_vk,a,либертарианство,Либертарианская партия России (ЛПР)
https://vk.com/libertarian_public,a,либертарианство,Freedom Pride | Либертарианство
https://vk.com/libertarians_conservatives,a,либертарианство,Libertarians & Conservatives
https://vk.com/club130202814,a,консерватизм,ДВИЖЕНИЕ «ЦАРСКИЙ КРЕСТ»
https://vk.com/club164893161,a,консерватизм,Мужской путь: патриархат разумный.
https://vk.com/club88816211,a,консерватизм,Анклав | Россия. История. Культура.
https://vk.com/kp_rus,a,консерватизм,КОНСЕРВАТИВНАЯ ПАРТИЯ РОССИИ
https://vk.com/conservativerelovelution,a,консерватизм,Консервативная (Р)эволюция
https://vk.com/club63352300,a,национализм,ВЕЛИКАЯ РУСЬ! Русские не сдаются!
https://vk.com/club38004717,a,национализм,Остановим геноцид Русов и Коренных Народов РФ
https://vk.com/club44874984,a,национализм,Русское Государство
https://vk.com/slaviane,a,национализм,СЛАВЯНЕ
https://vk.com/club17736722,a,национализм,"Комитет ""Нация и Свобода"""
https://vk.com/club135648876,a,социализм,Трибуна Трудящихся Новости
https://vk.com/club60940385,a,социализм,Русский социализм
https://vk.com/club167980775,a,социализм,ПЕТЕРБУРГ ПРОТИВ
https://vk.com/club6579654,a,социализм,Российское социалистическое движение (РСД)
https://vk.com/club167559060,a,социализм,НАРОД ПРОТИВ повышения пенсионного возраста
https://vk.com/od_fem,a,феминизм,"Чашечку феминизма и печеньку, пожалуйста"
https://vk.com/club36043735,a,феминизм,ФАКТЫ_АНТИсексизм_АНТИшовинизм_ФЕМ
https://vk.com/overhear_feminism,a,феминизм,Подслушано Феминизм
https://vk.com/fem_school,a,феминизм,Школа феминизма
https://vk.com/rusfemfaces,a,феминизм,Гордые лица русского феминизма
https://vk.com/club3349701,a,зеленые,Центр защиты прав животных «ВИТА»
https://vk.com/club164736298,a,зеленые,Московский мусор в Ярославской области
https://vk.com/rsbor,a,зеленые,Экологическое движение «РазДельный Сбор»
https://vk.com/rus_eco,a,зеленые,Экология России
https://vk.com/eco_sfera,a,зеленые,ЭкоСфера
https://vk.com/club87024604,a,патриотизм,Антимайдан|Россия|Официальное сообщество
https://vk.com/club19746278,a,патриотизм,Армия России | Обзор новостей
https://vk.com/club9957744,a,патриотизм,Политкач | Политика
https://vk.com/club120463229,a,патриотизм,Страна скакуасовили новости как они есть
https://vk.com/club35276355,a,патриотизм,ANNA-News|Фронтовые новости|Сирия|ЛНР|ДНР|
https://vk.com/club23469754,a,патриотизм,Мне реально нравится Путин! [Политика Россия]
https://vk.com/club50377583,a,патриотизм,Мировая Политика
https://vk.com/club62675857,a,патриотизм,Политика сегодня | Новости
https://vk.com/club66408189,a,патриотизм,РАДИЙ ХАБИРОВ-(группа граждан)
https://vk.com/club121394179,a,патриотизм,Курсом Путина. НОД. REFNOD.RU
https://vk.com/club167883239,a,нейтрал,Уставший оптимист - Политика Юмор Жизнь!
https://vk.com/club19003088,a,нейтрал,Новости Горного Алтая
https://vk.com/club54365484,a,нейтрал,"ЖК ""Ромашки"" Пайщики ЖК ""Силы природы"" Девяткино"
https://vk.com/club133386151,a,нейтрал,Россия - великая страна!
https://vk.com/club32803139,a,нейтрал,Наблюдатели Петербурга за честные выборы
https://vk.com/spravo_ross,b,партии,СПРАВЕДЛИВАЯ РОССИЯ
https://vk.com/yabloko_ru,b,партии,Партия ЯБЛОКО
https://vk.com/er_ru,b,партии,ЕДИНАЯ РОССИЯ
https://vk.com/monpartyamos,b,патрии,Монархическая партия России
https://vk.com/partrost ,b,партии,ПАРТИЯ РОСТА
https://vk.com/civilplatform,b,партии,Политическая партия «Гражданская Платформа»
https://vk.com/rus_imperia,b,партии,РУССКОЕ ИМПЕРСКОЕ ДВИЖЕНИЕ
https://vk.com/drugoross,b,партии,ДРУГАЯ РОССИЯ
https://vk.com/kprf,b,хобби,Коммунистическая партия РФ (КПРФ)
https://vk.com/liberal_democratic_party,b,хобби,ЛДПР
https://vk.com/rt_russian,b,сми,Новости RT на русском
https://vk.com/mayakfm,b,сми,Радио «Маяк»
https://vk.com/lentaru,b,сми,Лента.ру
https://vk.com/kommersant_ru,b,сми,Коммерсантъ
https://vk.com/metro_online,b,сми,Газета Metro
https://vk.com/meduzaproject,b,сми,«Медуза»
https://vk.com/novgaz,b,сми,Новая газета
https://vk.com/izvestia,b,сми,IZ.RU
https://vk.com/spastv,b,сми,Телеканал «СПАС»
https://vk.com/tvzvezda,b,сми,Телеканал «ЗВЕЗДА»
https://vk.com/rbc,b,сми,РБК
https://vk.com/echomsk,b,сми,Эхо Москвы
https://vk.com/tvrain,b,сми,Телеканал Дождь
https://vk.com/ria,b,сми,РИА Новости
https://vk.com/vedomosti,b,сми,ВЕДОМОСТИ
https://vk.com/rusradio,b,сми,Русское Радио
https://vk.com/oldlentach,b,сми,Лентач
https://vk.com/kpru,b,сми,Комсомольская правда - KP.RU
https://vk.com/rgru,b,сми,Российская Газета
https://vk.com/1tv,b,сми,Первый канал
https://vk.com/roscosmos,b,государство  ,Роскосмос
https://vk.com/mid,b,государство  ,МИД России
https://vk.com/mil,b,государство  ,Минобороны России
https://vk.com/duma,b,государство  ,Государственная Дума
https://vk.com/mchs__russia,b,государство  ,МЧС России
https://vk.com/countryballs_re,b,хобби,КБ
https://vk.com/strana_rus,b,хобби,Эту страну не победить!
https://vk.com/satyrabezsortyra,b,хобби,Сатира Без Позитива / Новости с овощебазы
https://vk.com/divan_analitik,b,хобби,Диванный аналитик
https://vk.com/politicsclub1,b,хобби,ПОЛИТИКА
https://vk.com/coldwar20,b,хобби,Холодная война 2.0
https://vk.com/teamnavalny,b,хобби,Команда Навального
https://vk.com/republicmag,b,хобби,Republic
https://vk.com/ntpolitika,b,хобби,Нетипичная политика™
https://vk.com/russia24na7,b,хобби,ПЕРВЫЙ РУССКИЙ
https://vk.com/belgay,b,общественная организация,Один твой друг
https://vk.com/greenpeace_ru,b,общественная организация,Greenpeace России
https://vk.com/lgbtrussia,b,общественная организация,Российская ЛГБТ-сеть
https://vk.com/vmgere,b,общественная организация,Молодая Гвардия
https://vk.com/onfront,b,общественная организация,ОНФ – Народный фронт
